Month,Incident Number,Date of Incident,Day of Week,Number of Victims under 18,Number of Victims over 18,Number of Offenders under 18,Number of Offenders over 18,Race/Ethnicity of Offenders,Offense(s),Offense Location,Bias,Zip Code,APD Sector,Council District
Mar,2018-670117,03/08/2018 12:00:00 AM,Thu,0,1,0,1,White/NotHispanic,Assault,Highway/Road/Street,Anti-Black,78701,George,9
Apr,2018-911582,04/01/2018 12:00:00 AM,Sun,0,1,0,1,White/NotHispanic,Intimidation,Parking Lot/Garage,Anti-Black,78717,Adam,6
Apr,2018-120696,04/30/2018 12:00:00 AM,Mon,0,1,0,1,White/Hispanic,Assault,Streets/Highway/Road/Alley,Anti-White,,,
May,2018-1410057,05/21/2018 12:00:00 AM,Mon,0,1,0,1,White/Hispanic,Assault,Bar/Nightclub,Anti-Gay,78752,Ida,4
Jun,2018-1671923,06/16/2018 12:00:00 AM,Sat,0,1,0,1,White/Hispanic,Assault,Parking Lot/Garage,Anti-Gay (Male),78741,Henry,3
Jun,2018-1791666,06/28/2018 12:00:00 AM,Thu,0,1,0,1,White/NotHispanic,Assault,Convenience Store,Anti-Black,78758,Adam,7
Aug,2018-2250662,08/13/2018 12:00:00 AM,Mon,0,1,0,1,White/NotHispanic,Assault,Residence/Home,Anti-Black,78756,Ida,7
Aug,2018-5033471,08/25/2018 12:00:00 AM,Sat,0,1,0,1,Asian/NotHispanic,Assault,Convenience Store,Anti-Black,78752,Ida,4
Sep,2018-2521623,09/09/2018 12:00:00 AM,Sun,0,1,0,1,White/Hispanic,Theft,Bar/Nightclub,Anti-Disability,78745,David,2
Sep,2018-2531786,09/11/2018 12:00:00 AM,Tue,0,1,0,1,White/NotHispanic,Aggravated Assault,Church/Synagogue,Anti-Black,78705,Baker,9
Oct,2018-2840756,10/11/2018 12:00:00 AM,Thu,1,0,0,1,White/NotHispanic,Assault,Park/Playground,Anti-Hispanic,78704,Henry,9
Oct,2018-2921720,10/19/2018 12:00:00 AM,Fri,0,1,0,1,Black/NotHispanic,Assault,Highway/Road/Street,Anti-Transgender,78758,Edward,4
Dec,2018-3491016,12/15/2018 12:00:00 AM,Sat,0,1,0,1,White/Hispanic,Assault,Streets/Highway/Road/Alley,Anti-Hispanic,78745,David,3
Jan,2019-8000242,12/29/2018 12:00:00 AM,Sat,0,1,0,0,Unknown,Assault,Bar/Nightclub,Anti-Gay (Male),78701,George,9
Jan,2019-190201,01/19/2019 12:00:00 AM,Sat,0,2,0,4,White/Hispanic (2) White/NonHispanic (2),Assault,Streets/Highway/Road/Alley,Anti-Gay (Male),78701,George,9
Feb,2019-531028,02/22/2019 12:00:00 AM,Fri,0,1,0,0,Unknown,Vandalism,Residence/Home,Anti-Jewish,78751,Ida,9
Mar,2019-901579,03/31/2019 12:00:00 AM,Sun,0,1,0,1,White/Hispanic,Assault,Bar/Nightclub,Anti-Gay (Male),78752,Ida,4
Apr,2019-941819,04/04/2019 12:00:00 AM,Sat,0,1,0,3,White/Hispanic,Assault,School-Elementary/Secondary,Anti-Hispanic/Latino,78754,Edward,7
Jun,2019-1621946,06/11/2019 12:00:00 AM,Tue,0,1,0,2,Black/Not Hispanic,Criminal Mischief,Hotel/Motel,Anti-White,78752,Ida,4
Aug,2019-2181959,08/06/2019 12:00:00 AM,Tue,1,0,3,0,White/Hispanic (3),Assault,Parking Lot/Garage,Anti-Islamic(Muslim),78717,Adam,6
Aug,2019-2240026,08/12/2019 12:00:00 AM,Mon,0,1,0,1,White/Not Hispanic,Intimidation,Drug Store/Dr.'s office/Hospital,Anti-Black or African American,78745,David,5
Aug,2019-2351905,08/24/2019 12:00:00 AM,Sat,0,1,0,1,White/Hispanic,Assault,Bar/Nightclub,Anti-Gay (Male),78701,George,9
Nov,2019-3271657,11/23/2019 12:00:00 AM,Sat,0,1,0,1,White/Not Hispanic,Assault,Streets/Highway/Road/Alley,Anti-Gay (Male),78701,George,9
Dec,2019-3531078,12/19/2019 12:00:00 AM,Thu,0,1,0,1,White/Not Hispanic,Intimidation,Shelter-Mission/Homeless,Anti-Black or African American,78701,George,9
Dec,2019-3641765,12/30/2019 12:00:00 AM,Mon,0,1,0,1,White/Not Hispanic,Assault,Streets/Highway/Road/Alley,Anti-Black or African American,78745,David,3
Mar,2020-602085,03/01/2020 12:00:00 AM,Sun,0,1,0,1,White/Non-Hispanic,Criminal Mischief,Residence/Home,Anti-Black or African American,78759,Adam,10
Mar,2020-680226,03/08/2020 12:00:00 AM,Sun,0,1,0,2,White/Hispanic,Assault,Parking Lot,Anti-Gay (Male); Anti-Transgender,78753,Edward,4
Mar,2020-5011788,03/22/2020 12:00:00 AM,Sun,0,1,0,0,Unknown,Criminal Mischief,Residence/Home,Anti-Gay (Male); Anti-Jewish,78757,Baker,7
Apr,2020-5015689,04/21/2020 12:00:00 AM,Mon,0,1,0,0,Unknown,Criminal Mischief,Church/Synagogue/Temple/Mosque,Anti-Buddhist,78758,Edward,7
Apr,2020-5016804,04/29/2020 12:00:00 AM,Wed,0,1,0,1,Black/Non-Hispanic,Assault by Threat,Department/Discount Store,Anti-Gay (Male); Anti-Transgender,78723,Charlie,1
May,2020-1381131,05/17/2020 12:00:00 AM,Sun,0,1,0,1,White/Non-Hispanic,Assault by Contact,Convenience Store,Anti-Black or African American,78705,Baker,9
May,2020-1410411,05/20/2020 12:00:00 AM,Wed,0,1,0,1,White/Non-Hispanic,Assault with Injury,Streets/Highway/Road/Alley,Anti-Hispanic or Latino,78701,Baker,9
Jun,2020-1560947,06/04/2020 12:00:00 AM,Thu,0,1,0,1,Unknown,Criminal Mischief,Residence/Home,Anti-Black or African American,78727,Adam,7
Jun,2020-1610708,06/09/2020 12:00:00 AM,Tue,0,1,0,1,Unknown,Criminal Mischief,Streets/Highway/Road/Alley,Anti-Black or African American,78727,Adam,7
Jun,2020-1690572,06/17/2020 12:00:00 AM,Wed,0,1,0,1,Unknown,Criminal Mischief,Parking Lot,Anti-Black or African American,78745,Frank,2
Jun,2020-1750961,06/23/2020 12:00:00 AM,Tue,0,1,0,1,Unknown,Criminal Mischief,Streets/Highway/Road/Alley,Anti-Black or African American,78727,Adam,7
Jun,2020-1760563,06/24/2020 12:00:00 AM,Mon,0,1,0,1,White/Non-Hispanic,Assault by Threat,Construction Site,Anti-Black or African American,78617,Airport,2
Jul,2020-2061031,07/24/2020 12:00:00 AM,Fri,0,1,0,1,White/Hispanic,Aggravated Assault,Streets/Highway/Road/Alley,Anti-Gay (Male),78741,Henry,3
Aug,2020-2411593,08/28/2020 12:00:00 AM,Fri,0,1,0,1,White/Non-Hispanic,Aggravated Assault,Streets/Highway/Road/Alley,Anti-Black or African American,78753,Edward,4
Sep,2020-2470835,09/03/2020 12:00:00 AM,Thu,0,1,0,1,Unknown,Criminal Mischief,Streets/Highway/Road/Alley,Anti-Black or African American,78704,David,9
Sep,2020-2680600,09/24/2020 12:00:00 AM,Thu,0,1,0,1,White/Non-Hispanic,Assault by Threat,Streets/Highway/Road/Alley,Anti-Black or African American,78701,George,9
Oct,2020-2821029,10/08/2020 12:00:00 AM,Thu,0,1,0,1,Black/Non-Hispanic,Assault with Injury,Streets/Highway/Road/Alley,Anti-White,78701,George,9
Oct,2020-5042285,10/19/2020 12:00:00 AM,Mon,0,1,0,1,Black/Non-Hispanic,Aggravated Assault,Parking Lots/ Garage,Anti-Gay (Male),78751,Baker,9
Nov,2020-3110610,11/06/2020 12:00:00 AM,Fri,0,1,0,1,White/Non-Hispanic,Assault with Injury,Specialty Store,Anti-Lesbian/Gay/Transgender,78745,David,5
Nov,2020-3170909,11/12/2020 12:00:00 AM,Thu,0,1,0,1,Unknown,Bomb Threat,Government/ Public Building,Anti-Black or African American,78744,Frank,2
Nov,2020-3261352,11/21/2020 12:00:00 AM,Sat,0,1,0,1,White/Non-Hispanic,Reckless Driving,Streets/Highway/Road/Alley,Anti-Black or African American,78749,David,10
Nov,2020-3350913,11/30/2020 12:00:00 AM,Mon,0,1,0,1,Black/Non-Hispanic,Burglary of Residence,Residence/Home,Anti-Gay (Male),78617,Henry,2
Dec,2020-3441066,12/09/2020 12:00:00 AM,Wed,0,1,0,1,Black/Non-Hispanic,Criminal Mischief,Parking Lots/ Garage,Anti-Gay (Male),78617,Henry,2
Dec,2020-3490121,12/14/2020 12:00:00 AM,Mon,0,1,0,1,White/Non-Hispanic,Aggravated Assault,Streets/Highway/Road/Alley,Anti-Gay (Male),78753,Edward,7
Jan,2021-5002678,01/11/2021 12:00:00 AM,Mon,0,1,0,0,Unknown,Criminal Mischief,Residence/Home,Anti-Jewish,78705,Baker,9
Mar,2021-740616,03/15/2021 12:00:00 AM,Mon,0,1,0,1,Unknown,Terroristic Threat,Dr. Office,Anti-Jewish,78745,Frank,5
Apr,2021-961628,04/06/2021 12:00:00 AM,Tue,0,1,0,1,Black or African American/Non-Hispanic,Assault with Injury,Other,Anti-Transgender,78753,Edward,1
May,2021-1440774,05/24/2021 12:00:00 AM,Mon,0,1,0,1,White/Non-Hispanic,Assault by Contact,Streets/Highway/Road/Alley,Anti-Gay (Male),78701,George,9
May,2021-1511164,05/31/2021 12:00:00 AM,Mon,0,2,0,1,White/Hispanic or Latino,Terroristic Threat,Residence/Home,Anti-Black or African American,78744,Frank,2
Jun,2021-1561457,06/05/2021 12:00:00 AM,Sat,0,1,0,1,Black or African American/Non-Hispanic,Robbery by Assault,Residence/Home,Anti-White,78726,Adam,10
Jun,2021-1630613,06/12/2021 12:00:00 AM,Sat,0,1,0,1,White/Unknown,Assault with Injury,Streets/Highway/Road/Alley,Anti-Gay (Male),78745,David,5
Jul,2021-1881168,07/07/2021 12:00:00 AM,Wed,1,0,0,1,White/Non-Hispanic,Disorderly Conduct- Abusive Language,Parking Lots/Garage,Anti-Black or African American,78731,Baker,10
Aug,2021-2351164,08/23/2021 12:00:00 AM,Mon,0,3,0,0,Unknown,Criminal Mischief,Parking Lots/Garage,Anti-Black or African American,78731,Baker,10
Aug,2021-5028563,08/25/2021 12:00:00 AM,Wed,0,1,0,0,Unknown,Criminal Mischief,Residence/Home,Anti-Black or African American,78745,David,5
Aug,2021-2371422,08/25/2021 12:00:00 AM,Wed,0,1,0,1,White/Non-Hispanic,Terroristic Threat,Gas/Service Stations,Anti-Black or African American,78701,George,9
Aug,2021-2370776,08/25/2021 12:00:00 AM,Wed,0,1,0,1,White/Non-Hispanic,Terroristic Threat,Streets/Highway/Road/Alley,Anti-Black or African American,78730,Adam,10
Aug,2021-2380934,08/26/2021 12:00:00 AM,Thu,0,1,0,1,Black or African American/Non-Hispanic,Assault with Injury,Hospital,Anti-Hispanic or Latino,78705,Baker,9
Sep,2021-2440814,09/01/2021 12:00:00 AM,Wed,0,1,0,1,White/Non-Hispanic,Assault by Threat,Restaurant,Anti-Gay (Male),78741,Henry,3
Sep,2021-2481706,09/05/2021 12:00:00 AM,Sun,0,1,0,1,White/Hispanic or Latino,Assault by Injury,Parking Lots/Garage,Anti-Transgender,78741,Henry,3
Sep,2021-2530622,09/10/2021 12:00:00 AM,Fri,0,1,0,1,Unknown,Harassment,Residence/Home,Anti-Black or African American,78758,Adam,7
Oct,2021-2791268,10/06/2021 12:00:00 AM,Wed,0,2,0,1,White/Non-Hispanic,Assault with Injury,Grocery/Supermarket,Anti-Black or African American,78751,Baker,9
Oct,2021-2820890,10/09/2021 12:00:00 AM,Sat,0,1,0,1,Black or African American/Non-Hispanic,Assault by Threat,Residence/Home,Anti-Gay (Male),78721,Charlie,1
Oct,2021-2930343,10/20/2021 12:00:00 AM,Wed,0,1,0,1,Asian/Non-Hispanic,Assault with Injury,Residence/Home,Anti-Black or African American,78723,Ida,4
Oct,2021-2970116,10/24/2021 12:00:00 AM,Sun,0,1,0,1,White/Unknown,Robbery by Assault,Streets/Highway/Road/Alley,Anti-Black or African American,78701,George,9
Oct,2021-3041556,10/31/2021 12:00:00 AM,Sun,0,1,0,,Unknown,Arson,Church/Synagogue/Temple/Mosque,Anti-Jewish,78756,Baker,10
Nov,2021-3150875,11/11/2021 12:00:00 AM,Thu,0,1,0,1,White/Non-Hispanic,Aggravated Assault,Highway/Road/Alley/Street,Anti-Gay (Male),78723,Ida,1
Nov,2021-3240067,11/20/2021 12:00:00 AM,Sat,0,1,0,4,White/Hispanic or Latino,Aggravated Robbery,Parking Lots/Garage,Anti-Gay (Male),78753,Edward,1
Nov,2021-5042258,11/30/2021 12:00:00 AM,Tue,0,1,0,,Unknown,Criminal Mischief,Residence/Home,Anti-Jewish,78705,Baker,9
Dec,2021-3381649,12/04/2021 12:00:00 AM,Sat,1,0,0,1,White/Non-Hispanic,Injury to Child,Residence/Home,Anti-Hispanic or Latino,78613,Adam,6
Dec,2021-3451516,12/11/2021 12:00:00 AM,Sat,0,1,0,1,White/Non-Hispanic,Assault with Injury,Streets/Highway/Road/Alley,Anti-Black or African American,78705,University of Texas,9
Jan,2022-5001986,01/13/2022 12:00:00 AM,Thu,0,1,0,1,White/Non-Hispanic,Assault by Contact,Grocery/Supermarket,Anti-Lesbian (Female),78723,Baker,9
Jan,2022-5004180,01/23/2022 12:00:00 AM,Sun,0,1,0,1,Black or African American/Non-Hispanic,Assault with Injury,Transportation (Air/Bus/Train Terminals),Anti-Transgender,78721,Charlie,1
Jan,2022-230302,01/23/2022 12:00:00 AM,Sun,0,1,0,1,White/Hispanic,Aggravated Assault,Residence/Home,Anti-Transgender,78752,Ida,4
Jan,2022-5003782,01/30/2022 12:00:00 AM,Sun,0,1,0,Unknown,Unknown,Criminal Mischief,Park/Playground,Anti-Black,78757,Ida,7
Feb,2022-5004355,02/11/2022 12:00:00 AM,Fri,0,1,0,1,White/Non-Hispanic,Harassment,Government/Public Building,Anti-Jewish,78701,George,9
Mar,2022-860143,03/27/2022 12:00:00 AM,Sun,0,2,0,1,White/Non-Hispanic,Assault with Injury,Bar/Nightclub,Anti-Gay (Male),78701,George,9
Apr,2022-1020259,04/11/2022 12:00:00 AM,Mon,0,1,0,1,Black or African American/Non-Hispanic,Assault by Threat,Bar/Nightclub,Anti-Other Race/Ethnicity/Ancestry,78741,Henry,3
Apr,2022-1080623,04/18/2022 12:00:00 AM,Mon,0,1,0,1,White/Non-Hispanic,Bomb Threat,Bar/Nightclub,Anti-Lesbian/Gay/Bisexual/Transgender (Mixed Group),78701,George,9
May,2022-1471643,05/27/2022 12:00:00 AM,Fri,0,1,0,1,Black or African American/Non-Hispanic,Assault by Threat,Park/Playground,Anti-Hispanic or Latino,78719,Airport,2
Jun,2022-1560010,06/05/2022 12:00:00 AM,Sun,0,1,0,1,Black or African American/Non-Hispanic,Assault with Injury,Parking/Drop Lot/Garage,Anti-Hispanic or Latino,78721,Charlie,3
Jun,2022-1581536,06/08/2022 12:00:00 AM,Wed,1,0,0,1,White/Non-Hispanic,Assault with Injury,Hwy/Road/Alley/Street/Sidewalk,Anti-Gay (Male),78723,Ida,4
Jun,2022-1651133,06/14/2022 12:00:00 AM,Tue,0,1,0,1,Black or African American/Non-Hispanic,Aggravated Assault,Air/Bus/Train Terminal,Anti-Gay (Male),78753,Ida,4
Jun,2022-1660217,06/15/2022 12:00:00 AM,Wed,0,1,0,Unknown,Unknown,Criminal Mischief,Hwy/Road/Alley/Street/Sidewalk,Anti-Lesbian/Gay/Bisexual/Transgender (Mixed Group),78723,Ida,1
Jun,2022-8010889,06/17/2022 12:00:00 AM,Fri,0,1,0,Unknown,Unknown,Criminal Mischief,Residence/Home,Anti-Jewish,78726,Adam,10
Jun,2022-1781674,06/27/2022 12:00:00 AM,Mon,0,1,0,2,Black or African American/Non-Hispanic,Aggravated Assault,Residence/Home,Anti-Bisexual,78741,Henry,3
Jul,2022-1821448,07/01/2022 12:00:00 AM,Fri,0,1,0,1,Black or African American/Non-Hispanic,Assault with Injury,Convenience Store,Anti-White,78702,Charlie,1
Jul,2022-1891122,07/08/2022 12:00:00 AM,Fri,0,2,0,1,Asian/Non-Hispanic,Aggravated Assault,Residence/Home,Anti-Hispanic or Latino,78753,Edward,7
Jul,2022-1901342,07/09/2022 12:00:00 AM,Sat,1,1,0,1,Black or African American/Non-Hispanic,Aggravated Assault,Park/Playground,Anti-White,78724,Charlie,1
Jul,2022-5020674,07/13/2022 12:00:00 AM,Wed,0,2,0,1,White/Non-Hispanic,Harassment,Commercial/Office Building,Anti-Jewish,78749,David,8
Jul,2022-5023869,07/25/2022 12:00:00 AM,Thu,1,0,1,0,White/Hispanic,Harassment,School-Elementary/Secondary,Anti-Gay (Male),78703,Baker,10
Aug,2022-2260351,08/14/2022 12:00:00 AM,Sun,0,1,0,1,White/Hispanic,Sodomy,Bar/Nightclub,Anti-Gay (Male),78753,Edward,4
Aug,2022-2290893,08/17/2022 12:00:00 AM,Wed,0,1,0,1,White/Non-Hispanic,Aggravated Assault,Hwy/Road/Alley/Street/Sidewalk,Anti-Black or African American,78731,Baker,10
Aug,2022-2320240,08/20/2022 12:00:00 AM,Sat,0,1,0,1,White/Non-Hispanic,Assault with Injury,Hwy/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,78741,Henry,3
Aug,2022-2361469,08/24/2022 12:00:00 AM,Wed,0,1,0,1,White/Non-Hispanic,Assault by Threat,Residence/Home,Anti-Transgender,78704,David,5
Aug,2022-2360048,08/24/2022 12:00:00 AM,Wed,0,1,0,1,White/Non-Hispanic,Assault with Injury,Residence/Home,Anti-Islamic (Muslim),78705,Baker,9
Sep,2022-2570732,09/14/2022 12:00:00 AM,Wed,0,0,0,Unknown,Unknown,Terroristic Threat,Church/Synagogue/Temple/Mosque,Anti-Protestant,78750,Adam,6
Sep,2022-8018849,09/21/2022 12:00:00 AM,Wed,Unknown,1,Unknown,Unknown,Unknown,Criminal Mischief,Parking/Drop Lot/Garage,Anti-Black or African American,78744,Frank,2
Oct,2022-2770039,10/04/2022 12:00:00 AM,Tue,0,1,0,1,White/Hispanic,Aggravated Assault,Hwy/Road/Alley/Street/Sidewalk,Anti-Black or African American,78701,George,9
Oct,2022-2771059,10/04/2022 12:00:00 AM,Tue,1,0,1,0,White/Hispanic,Assault by Threat,School-Elementary/Secondary,Anti-Transgender,78744,Frank,2
Oct,2022-2820061,10/09/2022 12:00:00 AM,Sun,0,1,0,3,White/Hispanic,Aggravated Assault,Parking/Drop Lot/Garage,Anti-Hispanic or Latino,78758,Edward,4
Oct,2022-8019452,10/16/2022 12:00:00 AM,Sun,0,1,0,1,White/Non-Hispanic,Assault by Threat,Residence/Home,Anti-Asian,78746,David,8
Oct,2022-5030938,10/18/2022 12:00:00 AM,Tue,0,1,Unknown,Unknown,Unknown,Theft,Residence/Home,Anti-Lesbian/Gay/Bisexual/Transgender (Mixed Group),78757,Ida,4
Oct,2022-3020077,10/29/2022 12:00:00 AM,Sat,0,1,0,1,White/Hispanic,Assault with Injury,Residence/Home,Anti-Gay (Male),78702,Charlie,1
Nov,2022-8021018,11/06/2022 12:00:00 AM,Sun,0,1,Unknown,Unknown,Unknown,Criminal Mischief,Parking/Drop Lot/Garage,Anti-Lesbian/Gay/Bisexual/Transgender (Mixed Group),78753,Edward,1
Nov,2022-8021171,11/06/2022 12:00:00 AM,Sun,0,1,Unknown,Unknown,Unknown,Criminal Mischief,Residence/Home,Anti-White,78745,Frank,2
Nov,2022-3160119,11/12/2022 12:00:00 AM,Sat,0,1,0,1,Asian/Non-Hispanic,Terroristic Threat,Residence/Home,Anti-Gay (Male),78751,Baker,9
Nov,2022-3270569,11/23/2022 12:00:00 AM,Wed,0,1,0,1,White/Non-Hispanic,Terroristic Threat,Residence/Home,Anti-Black or African American,78758,Edward,4
Nov,2022-8022452,11/29/2022 12:00:00 AM,Tue,0,1,0,1,Unknown,Assault by Threat,Commercial/Office Building,Anti-Black or African American,78724,Charlie,1
Nov,2022-3340149,11/30/2022 12:00:00 AM,Wed,0,1,0,1,Black or African American/Non-Hispanic,Assault with Injury,Parking/Drop Lot/Garage,Anti-Arab,78741,Henry,3
Dec,2022-5033200,12/05/2022 12:00:00 AM,Mon,0,1,0,1,White/Non-Hispanic,Theft,Residence/Home,Anti-Jewish,78731,Baker,10
Dec,2022-3530054,12/19/2022 12:00:00 AM,Mon,0,1,0,1,White/Hispanic,Burglary of Residence,Residence/Home,Anti-Black or African American,78702,Charlie,3
Dec,2022-3570768,12/23/2022 12:00:00 AM,Fri,0,1,Unknown,Unknown,Unknown,Burglary of Non Residence,Church/Synagogue/Temple/Mosque,Anti-Asian,78758,Edward,7
Dec,2022-3651118,12/31/2022 12:00:00 AM,Sat,0,1,0,1,Black or African American/Non-Hispanic,Assault with Injury,Residence/Home,Anti-Gay (Male),78756,Ida,7
Jan,2023-8000294,01/05/2023 12:00:00 AM,Thu,0,1,Unknown,Unknown,Unknown,Criminal Mischief,Commercial/Office Building,Anti-Black or African American,78757,Baker,7
Jan,2023-70154,01/07/2023 12:00:00 AM,Sat,0,1,0,1,White/Non-Hispanic,Assault with Injury,Hwy/Road/Alley/Street/Sidewalk,Anti-Physical Disability,78701,George,9
Jan,2023-8000482,01/07/2023 12:00:00 AM,Sat,0,1,0,Unknown,Unknown,Criminal Mischief,Residence/Home,Anti-Gay (Male),78752,Ida,1
Jan,2023-8001432,01/20/2023 12:00:00 AM,Fri,0,1,1,0,White/Hispanic,Criminal Mischief,Residence/Home,Anti-Lesbian/Gay/Bisexual/Transgender (Mixed Group),78723,Ida,1
Feb,2023-570673,02/26/2023 12:00:00 AM,Sun,0,1,0,1,Black or African American/Non-Hispanic,Terroristic Threat,Hwy/Road/Alley/Street/Sidewalk,Anti-Lesbian/Gay/Bisexual/Transgender (Mixed Group),78701,George,9
Mar,2023-650704,03/06/2023 12:00:00 AM,Mon,0,1,0,1,White/Unknown,Assault by Threat,Other/Unknown,Anti-Hispanic or Latino,78744,Frank,2
Mar,2023-771434,03/18/2023 12:00:00 AM,Sat,0,1,0,1,White/Non-Hispanic,Aggravated Assault,Hwy/Road/Alley/Street/Sidewalk,Anti-Gay (Male),78701,George,9
Apr,2023-910235,04/01/2023 12:00:00 AM,Sat,0,1,0,1,White/Non-Hispanic,Assault by Contact,Bar/Nightclub,Anti-Gay (Male),78701,George,9
Apr,2023-911459,04/02/2023 12:00:00 AM,Sun,0,1,0,1,Black or African American/Non-Hispanic,Assault with Injury,Residence/Home,Anti-Gay (Male),78702,Charlie,3
Apr,2023-981073,04/08/2023 12:00:00 AM,Sat,0,2,0,1,White/Non-Hispanic,Aggravated Assault,Parking/Drop Lot/Garage,Anti-Black or African American,78748,Frank,5
Apr,2023-9017649,04/17/2023 12:00:00 AM,Mon,0,1,0,1,White/Non-Hispanic,Harassment,Residence/Home,Anti-Hispanic or Latino,78702,Charlie,1
Apr,2023-1120835,04/22/2023 12:00:00 AM,Sat,0,1,0,2,White/Non-Hispanic,Harassment,Residence/Home,Anti-Gay (Male),78754,Edward,1
May,2023-1220980,05/02/2023 12:00:00 AM,Tue,0,1,0,1,Black or African American/Non-Hispanic,Aggravated Assault,Residence/Home,Anti-White,78744,Frank,2
Jun,2023-1561251,06/05/2023 12:00:00 AM,Mon,0,1,0,1,Black or African American/Non-Hispanic,Assault with Injury,Parking/Drop Lot/Garage,Anti-Gay (Male),78758,Edward,4
Jun,2023-1870868,06/13/2023 12:00:00 AM,Tue,0,1,Unknown,Unknown,Unknown,Criminal Mischief,Park/Playground,Anti-Black or African American,78741,Henry,3
Jun,2023-9006240,06/15/2023 12:00:00 AM,Thu,0,1,0,1,White/Non-Hispanic,Criminal Mischief,Bar/Nightclub,Anti-Lesbian/Gay/Bisexual/Transgender (Mixed Group),78701,George,9
